id,contract_id,committee_number,committee_act_info,invoice_date,requesting_officer
6fd7d112-d825-4156-8ef2-ce23d2208488,4177a4d0-9a0b-43c8-8d14-33d9fb9caf54,95.0,,2025-09-24,
e2bdf806-872a-4279-896b-631bc5d43490,befef48d-39f5-490f-bbeb-97669a281970,95.0,,2025-05-02,
f9e2f525-e649-4ab5-8927-80b82e5d3822,5ee22fa9-47ab-489b-a6c3-838e28f61538,98.0,,2025-03-19,
cd7b9e66-24ed-43b0-9de6-e83e78c78ad5,987df3e6-f37b-480b-bbe7-dbbd24bad441,98.0,,2025-03-20,
ee7491e7-b9f6-4a49-a57e-37b55bc65e1b,c6a2a013-38cf-46fa-9948-fd4ab937aec0,,,2024-11-29,
d621b0a8-9455-40ba-aa1c-9e7b0e058708,75782cc5-c534-42eb-8fb0-86c928919240,100.0,,2025-03-31,
2412487b-fd8e-4e50-9f3d-e91668d734cd,8276a071-3e71-4079-bf69-8f873cc63a2e,96.0,,2025-03-03,
53c8b578-1465-46d7-8c03-4abea196a13d,166f69f4-581b-4b7b-ab49-72730416bf37,100.0,,,
ff8767aa-822c-4133-89a3-75e52f9bcac3,6c13255f-d272-4d36-ac26-d0b1917f0355,100.0,,,
35714676-3574-469a-9a41-ec656eebb48f,25f9871a-afdc-4d61-9916-93a7394a2af1,102.0,,,
d7c6deba-a69d-4703-96fb-af976b1d85c6,ee366c60-8960-46a6-a60a-a5d3a21da56e,,,,
4202e009-3a7a-4225-81a1-54a095a5c1ea,00a881a4-3aad-4a6a-ba29-e10e106101b8,,,2025-05-30,
4fafd8bd-b97e-4eff-b8c7-d5de2e7943c4,7189efae-ce40-4ea8-a527-6c60dd469ced,103.0,,2025-05-29,
290be7a1-6435-44d1-a276-2e13b0ece114,3dc78764-3310-4536-b557-b7673bafc1f1,104.0,,2025-05-30,
3fa068c5-73a0-4df5-8a0c-69d357c1a4c1,e822a4b6-ec19-4db6-a89a-a254af4115ba,,,2025-09-01,
b8a8a672-73ee-43e5-b146-9126fc33b2c1,c111b8b0-af0b-49ec-96cb-c367cadbd13f,,,2025-07-10,
0cf58daa-4c85-493d-990f-4c6e99742e5b,404f7212-5e8b-4f8c-845e-27ceca657d06,107.0,,2025-11-06,
77d89ae9-0ca2-4823-9795-570c71cb789a,34069d9b-d166-44f3-ab69-a1a6ba0868d4,110.0,,2025-08-22,
42f6e736-246f-4be6-a0ec-2698f4d1b567,66789508-7417-4c0d-b8cd-bbbda176a3fd,112.0,,2025-09-01,
d6235dae-542e-493b-ad76-294abe37ddd0,d24943d3-0db7-41bf-9b7d-455b35c6e310,113.0,,2025-09-12,
af1fe0d9-998b-4735-a9c2-fd1891dd89a8,23c1173b-6614-4cad-af92-70409bdeb7b8,114.0,,2025-09-18,
82773a5e-8ec6-46cc-b512-7e9eba7f3853,38b1df59-e2bf-4d6d-93bf-9e238e19ed69,115.0,,2025-09-26,
05595ada-ef38-4e23-8e91-3379c48fe3f0,db6f2f20-2a21-4c26-89da-edc205febd57,112.0,,,
a6a337df-c2fd-41f5-9261-11edd26d060d,212336a5-f6e3-44ba-a082-2fb3366dd6b1,,,2025-09-24,
13028555-ec52-41e0-8d7e-1e1076472ef9,7e53e23c-c3ae-48df-8d99-63edd4182ffa,,,2025-10-16,
a0ab574f-aec0-4385-84e4-1056458b03c9,ab9a03be-0c12-4c2f-8774-2c6a90c608cb,,,2025-10-16,
86ce7ff8-b78f-4aba-829e-b5eb2ce0d19b,12020d28-83e7-4611-b216-b5e92e8caabb,,,2025-10-30,
73b9ac94-fe69-4ad0-abac-6d97f52fb9b0,32d00ec2-cbc6-4112-a9f2-1e832db89c60,,,2025-11-04,
b45f0ed1-da8e-480f-a80d-e5273aaa8e7a,7db6b4fd-ccd8-4b37-9ce8-8f286ced5b18,,,2025-11-06,MAYRA RINCON
626d47ba-87df-4432-ad2c-acdb9c8582d8,0020a3e0-4db4-4882-a767-4282e7216ecc,,,2025-11-12,MAYRA RINCON
11bb0de8-a23b-46d6-bc7f-1e3588a7a456,5b09ab4a-4d79-4ce5-b21f-8c6c135d2444,,,,
f2d6bbb4-05d0-418e-a174-47420740093b,a7ad7d47-3182-4add-8871-cc1a859ef939,,,2025-11-18,MAYRA RINCON
d91f1da0-768a-4725-8f45-e76bb1bd80f0,c1e72e8c-0498-4013-a88a-39da71e31721,,,2025-11-19,MAYRA RINCON
749f81d6-0306-47e8-b9a5-b8fec0e355aa,2e4571fe-3d0f-4601-9dde-dc8a9d07fa55,,,2025-11-19,MAURICIO CORREA
5a3731fd-78df-4b10-8231-79103b3f5ccb,59375032-f1f4-4958-8702-93414b31e615,,,,MAYRA RINCON
e9c5b32d-50a2-470b-aae4-43ce02a0b600,66a58887-882c-4d91-b16b-4e26092fd6c5,,,,SEBASTIAN OBANDO
cb7f48fb-18ed-4f74-9d46-9bb97b9d5058,f5150ec3-2e51-4ae0-98c3-025015e7b6ef,,,,SEBASTIAN OBANDO
ab9996bd-722e-44b2-af73-95172f774338,3aeddbf4-c585-46de-870e-a6f0e462a943,,,,SEBASTIAN OBANDO
d7fde664-cac2-4c25-90d4-b5286ac6ffbc,d6d1923f-53e5-4f0e-bb06-977896fc88f9,,,,SEBASTIAN OBANDO
6e6c57d8-7c0c-4a05-88d9-72d25176f13d,ed5bac9d-bfac-4fe6-aecd-8c10e2cabca5,,,,YUDILMA PALOMINO
01ab8491-9d90-43ff-9a83-3bc3663a1d3a,c21fbab2-04ab-43ea-b9bf-da9a32f988d2,,,,MAYRA RINCON
44ee2e34-4751-402b-bfc8-b94cea0ee35a,2e943874-70de-482f-8872-0d26da0fd1f6,,,,MAYRA RINCON
7e343597-caca-4089-a781-2b0c768e8a7d,70eff550-57b6-4490-9606-199061b6408d,,,,SEBASTIAN OBANDO
